NDSN,10.20,151.14,370247.87,387.06
BECN,7.30,66.08,550545.64,386.84
ROP,35.19,303.62,551461.67,386.18
CLR,6.77,80.64,2822969.69,385.19
DPS,11.90,123.81,1842389.97,384.94
UNP,16.81,151.56,6186349.44,383.35
CBRL,11.64,178.00,334706.67,382.57
WAGE,10.33,80.20,277196.08,381.72
LOW,13.39,107.40,10130493.10,381.51
BBX,0.11,10.01,121749.68,381.29
HSKA,1.70,110.24,36514.23,380.57
DRI,12.10,114.36,2169732.70,379.93
NUS,8.04,138.66,888748.88,379.13
FNF,4.18,41.85,3304260.70,377.85
FONR,0.63,33.60,74076.58,377.44
BJRI,6.79,74.70,349617.19,377.32
JBHT,18.59,130.82,1283644.44,375.61
WDFC,21.88,174.95,71666.52,375.28
DG,21.71,108.08,3040416.83,375.19
SPGI,17.39,214.78,1906598.40,374.84
UBNT,7.88,89.00,646330.98,374.63
NNI,4.25,63.57,133696.23,373.99
WRLD,11.26,123.99,187710.74,373.34
EDUC,1.25,13.45,19697.72,373.21
KFRC,5.53,43.15,185580.09,373.15
JJSF,23.58,158.43,60363.12,372.73
CDW,18.34,87.38,829529.67,372.46
EPAY,4.68,63.95,222557.38,371.96
MIDD,6.92,142.38,453397.54,371.32
SBAC,10.64,174.73,1423785.45,370.82
CTSH,7.34,84.83,5894931.66,370.74
MGIC,0.98,9.60,114444.65,368.91
JOUT,4.68,105.16,19881.57,368.56
UFPT,3.54,36.65,35236.35,368.43
SIEB,1.14,20.00,20533.08,367.88
AAXN,2.68,74.89,1085472.18,366.88
ACIW,2.97,28.46,693249.70,366.81
INXN,11.30,66.37,415408.08,366.81
ICLR,14.20,147.55,390316.85,366.70
JCTCF,1.00,8.92,12470.84,366.58
UNH,16.30,264.28,6578648.81,366.35
HUBS,27.25,142.10,388886.69,366.28
SKX,1.76,53.43,2688491.24,365.92
WLDN,1.15,36.54,44648.01,365.84
NVEC,17.63,133.66,30688.03,365.00
SNBR,0.19,40.19,848090.90,364.62
AMWD,10.91,140.05,101520.66,363.95
ALGT,17.13,233.98,203614.17,363.86
EBSB,2.59,21.65,121549.76,361.55
CERN,7.89,75.00,2673521.18,361.35
FIX,6.65,57.25,216077.29,361.04
PII,7.30,158.43,903594.03,360.91
ACN,26.67,168.09,3374564.02,360.01
TTD,22.80,138.35,963214.61,359.63
FB,17.73,217.50,36530135.55,356.84
CIGI,4.32,82.90,42080.24,356.05
ANCX,3.99,30.50,22398.90,355.87
CORT,0.75,25.50,415667.13,355.70
AEIS,5.49,94.25,416948.32,354.86
IOSP,2.79,82.70,127891.46,353.91
GABC,6.93,38.75,32156.15,352.28
ECPG,2.89,51.10,213856.79,351.98
TDY,22.05,235.67,192658.28,351.14
AEL,3.09,37.57,589029.05,351.03
TTC,5.11,73.69,858760.51,350.99
AAN,9.51,50.85,525974.94,350.27
MPC,13.53,83.82,5904670.25,350.04
CACI,33.99,193.65,279278.64,348.77
UFI,1.41,38.86,76382.44,347.68
TRCH,0.25,5.83,152726.15,347.52
FN,9.35,49.19,309730.92,344.93
NANO,0.85,46.22,216954.25,344.51
MZOR,8.79,74.82,201035.63,342.21
MTZ,6.19,54.75,876187.14,342.17
FRBA,2.75,15.00,15926.37,341.54
ANSS,18.06,182.73,525557.01,341.17
